ds_division,date,hazard_DROUGHT,hazard_FLOOD,hazard_HEAT,hazard_HEAVY_RAIN,hazard_LANDSLIDE,hazard_LIGHTNING,hazard_WIND
Abanganga Korale,2023.12.28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Abilipitiya,2025.03.27,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Abilipitiya,2025.03.29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Addalachchenai,2024.11.26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Addalachchenei,2023.10.07,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Agalawaththa,2023.07.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawaththa,2025.05.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawaththa,2025.05.20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawaththa,2025.06.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawaththa,2025.10.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawatta,2022.09.06,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Agalawatta,2025.05.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawattha,2023.09.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawattha,2024.05.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agalawattha,2024.06.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Agalawattha,2025.05.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelassa,2022.08.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelassa,2025.07.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelessa,2024.05.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelessa,2024.09.01,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Agunakolapelessa,2024.11.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelessa,2024.12.12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Agunakolapelessa,2025.04.06,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Agunakolapelessa,2025.07.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelessa,2025.08.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunakolapelessa,2025.11.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Agunukolapelassa,2023.12.31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Agunukolapelassa,2024.05.22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akkaraipattu,2024.11.26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Akmeemana,2023.07.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Akmeemana,2023.10.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Akmeemana,2023.10.03,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Akmeemana,2024.05.22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akmeemana,2025.05.30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akmeemana,2025.05.31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akmeemana,2025.10.21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akurana,2022.10.13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akurana,2022.11.07,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Akurana,2023.10.10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
